event,white,black,result,whiteelo,blackelo,whiteratingdiff,blackratingdiff,opening
Rated Classical game,tenz07ibo,helioluciod,1-0,1822,1885,13.0,-12.0,Ruy Lopez
Rated Classical game,kimate,denys-che,1-0,1720,1767,14.0,-12.0,Queen's Gambit Accepted
Rated Classical game,ShowView,philip76,1-0,1137,1200,12.0,-13.0,Petrov
Rated Classical game,moutarde,georgatos00,1-0,1673,1545,7.0,-7.0,Queen's Pawn Game
Rated Classical game,AMIRZADE_2017,Y2305,1-0,1772,1734,9.0,-9.0,Philidor Defense
Rated Classical game,Garullus,AngelAmando33,1-0,1447,1383,9.0,-8.0,Pirc Defense
Rated Classical game,nenuorama,zymurg,1-0,1117,1208,13.0,-14.0,King's Pawn Game
Rated Classical game,a1359,debo654,1-0,1418,1436,11.0,-12.0,St. George Defense
Rated Classical game,seint,Circassian17,1-0,1816,1842,11.0,-11.0,Caro-Kann Defense
Rated Classical game,markelovdn,Toniled,0-1,1342,1442,-8.0,8.0,Philidor Defense
Rated Classical game,Hellontoast,SadLittleTurtle,1-0,1673,1743,13.0,-13.0,English Opening
Rated Classical game,nicpiero93,barman188,0-1,1298,1242,-13.0,13.0,French Defense
Rated Classical game,bahssine,Flavio1985,0-1,1541,1657,-7.0,7.0,Sicilian Defense
Rated Classical game,d9ee,Stewof,0-1,1664,1518,-17.0,15.0,Sicilian Defense
Rated Classical game,halil1962,HiroshimaNagasaki,1-0,1795,1815,11.0,-11.0,Queen's Pawn Game
Rated Classical game,sandocan,hosseinsafavi,0-1,1581,1549,-12.0,12.0,Ruy Lopez
Rated Classical game,FAM,hassan982,0-1,1433,1461,-10.0,10.0,Sicilian Defense
Rated Classical game,Ten_min_game,alc_rabie,0-1,1779,1949,-7.0,6.0,Sicilian Defense
Rated Classical game,puissance64,lionheart333,1-0,1704,1694,10.0,-14.0,Philidor Defense
Rated Classical game,tchiwiwi,bubo15,0-1,1638,1717,-9.0,9.0,Indian Game
Rated Classical game,shayabutbul,dbalka2,0-1,1639,1671,-9.0,9.0,Scandinavian Defense
Rated Classical game,glimoire,Booooo1234,0-1,1412,1606,-6.0,6.0,Polish Opening
Rated Classical game,hadi3000,JamIbius,1-0,1604,1458,7.0,-7.0,Bishop's Opening: Ponziani Gambit
Rated Classical game,KaspaRock,bobbyfischer2700,1-0,1719,1719,10.0,-28.0,Sicilian Defense
Rated Classical game,Davit1982,TFP,0-1,1710,1848,-7.0,7.0,Sicilian Defense
Rated Classical game,Kazim111,Gabriellucena,1-0,1205,1197,10.0,-30.0,King's Pawn Game
Rated Classical game,johnbjork1,vell29,1-0,1414,1366,10.0,-9.0,Petrov
Rated Classical game,noobishop,DragovicThor,0-1,1599,1730,-7.0,7.0,Sicilian Defense
Rated Classical game,mumu77,MountainDew,1-0,1476,1476,10.0,-10.0,King's Pawn Game
Rated Classical game,Fil40,fgarciao,0-1,1428,1602,-6.0,6.0,Queen's Pawn Game
Rated Classical game,xcoolboy111,Raider377,1-0,1469,1449,10.0,-10.0,Italian Game
Rated Classical game,Richard072017,Napoleon_Solo,1-0,1554,1570,12.0,-15.0,Caro-Kann Defense
Rated Classical game,morisok,l1ggy,0-1,1167,1161,-10.0,49.0,Scotch Game
Rated Classical game,safi2020,Radhagupta,0-1,1769,1593,-16.0,16.0,Philidor Defense
Rated Classical game,GlaDiaDorBRKS,eralb,1-0,1478,1498,12.0,-12.0,French Defense
Rated Classical game,rayfinckle100,vlad1866,1-0,1512,1627,14.0,-15.0,Ruy Lopez
Rated Classical game,Sweeterman,Best89,1-0,1618,1489,8.0,-7.0,French Defense
Rated Classical game,Celeborn171327,Vascojr93,1-0,1423,1494,12.0,-13.0,Indian Game
Rated Classical game,MonteForte,BerkanTuna,1-0,1473,1326,6.0,-7.0,Sicilian Defense: Smith-Morra Gambit
Rated Classical game,vkilz,Deniska77,0-1,1592,1638,-14.0,9.0,Bishop's Opening
Rated Classical game,Salvatorejaime,Conde123,0-1,1678,1690,-10.0,10.0,Bishop's Opening
Rated Classical game,Arlequinescacs,unholymountain,0-1,1900,1787,-13.0,14.0,French Defense
Rated Classical game,lucio74,Dorianchess,1-0,1275,1390,14.0,-14.0,Four Knights Game
Rated Classical game,mamsrz,Federico022,0-1,1484,1485,-11.0,11.0,Van Geet Opening
Rated Classical game,swofl,dondougs,1-0,1400,1376,10.0,-10.0,Petrov
Rated Classical game,inirrefoloap,maj5b911,1-0,1645,1473,6.0,-6.0,Queen's Pawn Game
Rated Classical game,eroots,amineSA,1-0,1127,1043,8.0,-10.0,English Opening
Rated Classical game,Guiguizinho,Douglas7771,0-1,1362,1323,-13.0,12.0,Philidor Defense
Rated Classical game,regato,rafaelaflorit,0-1,1703,1776,-8.0,9.0,King's Indian Defense
Rated Classical game,Ruairi1982,mailok85,1-0,1473,1311,6.0,-6.0,King's Pawn Game
Rated Classical game,benesp,Xarlebrau,0-1,1730,1717,-11.0,10.0,Old Benoni Defense
Rated Classical game,CORVETE,sinjal,0-1,1555,1578,-10.0,10.0,Sicilian Defense: Smith-Morra Gambit
Rated Classical game,tuo_padre,fborja1977,0-1,1703,1710,-10.0,10.0,Slav Defense
Rated Classical game,a-zee,RascasseRouge,1-0,1187,1274,22.0,-13.0,Center Game
Rated Classical game,MaxOverlord,zurdo57,1-0,1352,1393,14.0,-12.0,Scandinavian Defense
Rated Classical game,Wolf21,Scarff,0-1,1597,1754,-6.0,6.0,Sicilian Defense
Rated Classical game,retared,KaraliusD,1-0,1458,1431,11.0,-10.0,Ponziani Opening
Rated Classical game,thierry0057,zubairali,0-1,1594,1660,-9.0,9.0,Scandinavian Defense
Rated Classical game,hartmann_84,dexers,1-0,1318,1247,8.0,-9.0,Bishop's Opening
Rated Classical game,CaptainMojo,joel33,0-1,1476,1617,-7.0,7.0,Scotch Game
Rated Classical game,juanfran97,Leskiv,1-0,1697,1685,10.0,-10.0,Philidor Defense
Rated Classical game,poland1230,ByAngelll,0-1,1422,1461,-10.0,10.0,St. George Defense
Rated Classical game,Emil5555,mqk,0-1,1798,1705,-13.0,12.0,Philidor Defense
Rated Classical game,george17,sldnk51,0-1,1649,1693,-9.0,10.0,King's Pawn Game
Rated Classical game,adelmarc,Holylowy,1-0,1585,1524,9.0,-9.0,Italian Game
Rated Classical game,F0854,Rage_Pas_Frere,1-0,1366,1273,8.0,-37.0,Scandinavian Defense
Rated Classical game,gillouxs,yesilbere,1-0,1248,1062,5.0,-12.0,King's Pawn Game
Rated Classical game,okoloborisa,arttt,1-0,1619,1578,10.0,-9.0,Queen's Gambit Accepted
Rated Classical game,mozg-ii,makalo,0-1,1787,1701,-14.0,13.0,Semi-Bononi
Rated Classical game,Pol-333,stupidknight,1-0,1904,1906,10.0,-11.0,King's Indian Defense
Rated Classical game,limunko,obanna,1-0,1861,1867,11.0,-11.0,Sicilian Defense
Rated Classical game,vrokh,Zack910030,1-0,1444,1461,11.0,-12.0,Modern Defense
Rated Classical game,aridder,SY_NC,1-0,1438,1398,10.0,-10.0,Sicilian Defense
Rated Classical game,brain_food,zagortenay65,0-1,1491,1476,-11.0,11.0,Italian Game
Rated Classical game,mattiamazzonetto,SabrinaHoney,1-0,1042,1030,12.0,-10.0,King's Pawn Game
Rated Classical game,kronik76,Ruzpaul,1-0,1160,1160,11.0,-11.0,Queen's Pawn Game
Rated Classical game,mburaksu,davifl10,1-0,1276,1258,21.0,-10.0,Philidor Defense
Rated Classical game,Delpawn,Dondothesuperamida,1-0,1717,1617,8.0,-9.0,King's Pawn Game
Rated Classical game,Albyrani,vicentepavez,1-0,1627,1638,11.0,-15.0,"King's Gambit Accepted, Schallopp Defense"
Rated Classical game,masciu,Governor1,0-1,1763,1620,-17.0,16.0,Queen's Gambit Refused
Rated Classical game,whiteslon,victorecho,0-1,1272,1346,-10.0,8.0,Italian Game
Rated Classical game,REIS60,limax,0-1,1945,1921,-13.0,11.0,Sicilian Defense
Rated Classical game,mannenmannen,ayo100000,0-1,1447,1466,-10.0,10.0,Ruy Lopez
Rated Classical game,mauro0108,Aleks7801,1-0,1801,1804,10.0,-11.0,Sicilian Defense
Rated Classical game,Kh1348,zakir1005,0-1,1890,1834,-12.0,12.0,English Opening
Rated Classical game,mauriziospin,cobre,0-1,1722,1703,-12.0,12.0,Queen's Gambit Declined
Rated Classical game,Renzi,emrebulkurcuoglu,0-1,1234,1242,-13.0,15.0,King's Pawn Game
Rated Classical game,mailok85,tatoupandore,0-1,1305,1297,-11.0,10.0,Sicilian Defense
Rated Classical game,rely93,chernilo21,1-0,1405,1275,9.0,-7.0,French Defense
Rated Classical game,pmeath,climaxboy,0-1,1282,1349,-13.0,9.0,Ponziani Opening
Rated Classical game,germanymickael,duca83,0-1,1723,1911,-6.0,6.0,Sicilian Defense
Rated Classical game,rribak,jaque_cba,1-0,1750,1862,14.0,-14.0,Queen's Gambit Accepted
Rated Classical game,x8magic,BIBIGON,0-1,1539,1544,-10.0,11.0,King's Pawn Game
Rated Classical game,TaylorSwift1989,alfio64,0-1,1453,1493,-10.0,11.0,French Defense
Rated Classical game,Ostwestfale,Jkgu,1-0,1652,1556,8.0,-7.0,Ware Opening
Rated Classical game,antozi,lancrydario,1-0,1267,1284,11.0,-11.0,King's Pawn Game
Rated Classical game,Alex_Anaua,aniquilador88,1-0,1738,1904,16.0,-15.0,Sicilian Defense
Rated Classical game,c3ry,kriebelmeneus,0-1,1403,1372,-11.0,12.0,Queen's Pawn Game
Rated Classical game,zava13,nosz,1-0,1500,1448,9.0,-9.0,Scandinavian Defense
Rated Classical game,stasila82,Emil1V3,0-1,1443,1410,-12.0,11.0,Gunderam Defense
Rated Classical game,KamikazeKiwi,Stu-ganem,1-0,1816,1674,6.0,-7.0,Italian Game
Rated Classical game,jordanajam,smallRook,0-1,1286,1294,-10.0,11.0,Scotch Game
Rated Classical game,Torrent07,Mohamedelyou,1-0,1346,1400,12.0,-12.0,Center Game
Rated Classical game,Rednakes,Shkolnik777,0-1,1555,1482,-14.0,14.0,Italian Game
Rated Classical game,smontur,Delfoscabernard,0-1,1767,1603,-16.0,15.0,Philidor Defense
Rated Classical game,Siva1444,Jackarmstrong1951,1-0,1614,1651,11.0,-12.0,Englund Gambit Complex: Hartlaub-Charlick Gambit
Rated Classical game,Galass44,CharllesJunior,1-0,1120,1140,12.0,-12.0,Scandinavian Defense
Rated Classical game,geiralnes,apolo6612,1-0,1215,1176,10.0,-10.0,Nimzo-Larsen Attack
Rated Classical game,Zelya112233,eugenis,0-1,1666,1681,-10.0,10.0,French Defense
Rated Classical game,Parlov1337,pandbur,1-0,1078,1039,20.0,-12.0,Queen's Gambit Accepted
Rated Classical game,Roberto76,dawei,1-0,1305,1290,11.0,-10.0,Van't Kruijs Opening
Rated Classical game,moomen,GuillermoQuiroz,0-1,1488,1501,-12.0,11.0,Philidor Defense
Rated Classical game,Mohammadbangkit,rotella55,1-0,1580,1593,11.0,-11.0,French Defense
Rated Classical game,Russia_chess1,Charisma1907,1-0,1398,1384,10.0,-10.0,Philidor Defense
Rated Classical game,pengembara,zippo966,0-1,1881,1692,-16.0,15.0,Queen's Pawn Game
Rated Classical game,PhriidBst,azer1964,0-1,1718,1891,-6.0,6.0,Philidor Defense
Rated Classical game,LorenScaglia,msuprun,1-0,1352,1157,6.0,-5.0,French Defense
Rated Classical game,dextersmith,blkchessman01,1-0,1870,1905,17.0,-12.0,French Defense
Rated Classical game,ravomihaja,Carlos0575,0-1,1813,1833,-10.0,11.0,Robatsch (Modern) Defense
Rated Classical game,mihame,martin3000,0-1,1131,1106,-13.0,11.0,Russian Game: Urusov Gambit
Rated Classical game,terrormt,dexedrine,1-0,1472,1405,8.0,-31.0,Hungarian Opening
Rated Classical game,Lupin3rd,afrikano,1-0,1476,1532,15.0,-12.0,Philidor Defense
Rated Classical game,TimotheI,rumo411,1-0,1575,1775,18.0,-18.0,Ruy Lopez
Rated Classical game,Danielpuita,Pdellaluna0,0-1,1359,1359,-11.0,11.0,Vienna Game
Rated Classical game,Pgupps,GranBelen,0-1,1601,1723,-7.0,8.0,King's Pawn Game
Rated Classical game,RafaBR,jrTicketjack,0-1,1396,1471,-14.0,8.0,Vienna Game
Rated Classical game,fmr00c,bebano,0-1,1776,1668,-14.0,14.0,Semi-Slav Defense
Rated Classical game,Ms0793,Brecher,1-0,1566,1568,11.0,-11.0,French Defense
Rated Classical game,brooks0523,urubu10,0-1,1387,1555,-8.0,6.0,English Opening
Rated Classical game,The_Royal,missoum70,0-1,1313,1340,-9.0,10.0,Scandinavian Defense: Icelandic-Palme Gambit
Rated Classical game,giank52,tino223,0-1,1365,1449,-9.0,10.0,Indian Game
Rated Classical game,Quizlock,pippalsugo,1-0,1203,1290,13.0,-13.0,Italian Game
Rated Classical game,xtpwlf,LevanIlashvili,1-0,1578,1541,10.0,-11.0,Nimzowitsch Defense
Rated Classical game,Udstilling,RomanSt1983,0-1,1633,1640,-10.0,10.0,Italian Game
Rated Classical game,mostafa1966,fevziyaman58,1-0,1775,1705,8.0,-8.0,Caro-Kann Defense
Rated Classical game,dell2016,pablo1987,1-0,1431,1287,8.0,-7.0,Center Game
Rated Classical game,istanbul26,Delsur,0-1,1515,1487,-35.0,11.0,King's Pawn Game
Rated Classical game,Robobix,alabama40,1-0,1762,1623,8.0,-8.0,Queen's Pawn Game
Rated Classical game,bishop123123,barzo1969,0-1,1889,1888,-10.0,11.0,Latvian Gambit
Rated Classical game,Gavril49,gus73,1-0,1768,1572,6.0,-6.0,Benoni Defense: Benoni Gambit Accepted
Rated Classical game,bkkuiper,Oriffa,1-0,1634,1648,11.0,-12.0,King's Pawn Game
Rated Classical game,Mkuczanov,gattino,1-0,1386,1341,10.0,-9.0,Queen's Pawn Game
Rated Classical game,bandit973,HoticeCream,0-1,1700,1654,-12.0,13.0,Ruy Lopez
Rated Classical game,Danislam,sum1willb2nd,0-1,1215,1326,-9.0,9.0,Pirc Defense
Rated Classical game,Saidrasul,Sukiasyan96,1-0,1681,1614,9.0,-9.0,Bishop's Opening
Rated Classical game,cebuanoniles94,antua27,0-1,1134,1131,-13.0,11.0,French Defense
Rated Classical game,stillflowingwater,Tbbike,1-0,1601,1447,7.0,-7.0,Ruy Lopez
Rated Classical game,dvandvah,JustinLec,1-0,1264,1291,12.0,-11.0,Petrov
Rated Classical game,tiagomeuc,tomp1900,1-0,1994,1874,7.0,-8.0,Italian Game
Rated Classical game,MastersOfMasters,kendalf,0-1,1509,1524,-13.0,10.0,Scandinavian Defense
Rated Classical game,ju1320bis,audunb,1-0,1319,1454,14.0,-14.0,Ruy Lopez
Rated Classical game,emre_db2001,poplar,1-0,1513,1531,12.0,-11.0,Grob Opening: Grob Gambit Declined
Rated Classical game,Joperomano,zidman,1-0,1481,1623,15.0,-16.0,Bishop's Opening
Rated Classical game,Makor666,KnightsCarl,1-0,1242,1224,10.0,-10.0,Owen Defense
Rated Classical game,Smatty,mattyhaddy,0-1,1382,1353,-11.0,11.0,Philidor Defense
Rated Classical game,joaopedrors10,amrbat,0-1,1402,1512,-7.0,8.0,Slav Defense
Rated Classical game,kareemEssam,Kaskade24,0-1,1735,1743,-10.0,10.0,Sicilian Defense
Rated Classical game,lahcene,IProd,0-1,1590,1720,-8.0,9.0,Nimzowitsch Defense
Rated Classical game,zanella1503,SergV161,0-1,1522,1647,-7.0,8.0,Queen's Pawn Game
Rated Classical game,Y23,Sthclvrt,1-0,1300,1187,8.0,-7.0,Modern Defense
Rated Classical game,Cptn_Jack_Sparrow,giulio65,1-0,1348,1333,10.0,-10.0,Horwitz Defense
Rated Classical game,Elonr,Mohammad081,1-0,1162,1159,11.0,-10.0,King's Pawn Game
Rated Classical game,d1ma00,juandaqh,1-0,1522,1500,12.0,-10.0,French Defense
Rated Classical game,Knubby,stevenroo,0-1,1096,1083,-11.0,11.0,Queen's Gambit Refused
Rated Classical game,Hedgar,LordMavis,1-0,1547,1586,12.0,-15.0,Philidor Defense
Rated Classical game,Wake_UP_Boricua,WishYouWereBeer,1-0,1411,1373,9.0,-14.0,French Defense
Rated Classical game,adalegri,WoodyTobiasJr,1-0,1128,1320,33.0,-16.0,Four Knights Game
Rated Classical game,heiseb01,Boda72,1-0,1436,1333,8.0,-8.0,King's Pawn Game
Rated Classical game,Vash_88,JUANKARODA,1-0,1546,1592,12.0,-12.0,Saragossa Opening
Rated Classical game,Shahmatniy,SilverFox_Chess,0-1,1228,1317,-10.0,12.0,King's Pawn Game
Rated Classical game,zombiehorse,Stefan_vom_See,1-0,1720,1760,12.0,-13.0,Queen's Pawn
Rated Classical game,pieceofffering,Berrendero,1-0,1930,1906,10.0,-10.0,Queen's Pawn Game
Rated Classical game,KaraliusD,retared,0-1,1421,1469,-9.0,9.0,Nimzowitsch Defense
Rated Classical game,chessinclass,MARLAUYUL,0-1,1318,1477,-6.0,6.0,French Defense
Rated Classical game,Harleyluia,Himaaaa,0-1,1666,1678,-11.0,10.0,Ruy Lopez
Rated Classical game,KORONIARZ,BulanLukas,0-1,1642,1605,-50.0,10.0,Ruy Lopez
Rated Classical game,UMBERTOGALEAZZI42,ramluk,0-1,1492,1471,-11.0,12.0,Horwitz Defense
Rated Classical game,Oliver_shanti,mosbiusdesigns,1-0,1827,1820,11.0,-11.0,Italian Game
Rated Classical game,MountainDew,meico,0-1,1466,1508,-9.0,10.0,King's Pawn Game: Busch-Gass Gambit
Rated Classical game,Crusps,knightofathousand,0-1,1404,1345,-13.0,13.0,Van't Kruijs Opening
Rated Classical game,odysseyssss,Romess67380,1-0,1334,1298,9.0,-10.0,Philidor Defense
Rated Classical game,Messiniano,Ilija777,1-0,1683,1665,10.0,-10.0,Van Geet Opening
Rated Classical game,king0Fnothing,ltblueangel,1-0,1167,1153,11.0,-10.0,King's Pawn Game
Rated Classical game,powerzero,alex1974,1-0,1663,1788,14.0,-16.0,Caro-Kann Defense
Rated Classical game,lazare31,LeydenGambit,1-0,1280,1188,8.0,-8.0,Russian Game: Urusov Gambit
Rated Classical game,Ermolov,Obito2331,0-1,1323,1314,-11.0,12.0,Scandinavian Defense
Rated Classical game,juansolano,Dhaness65,1-0,1545,1535,10.0,-11.0,Scandinavian Defense
Rated Classical game,AndyBielsko,ilex,1-0,1632,1658,11.0,-11.0,Van't Kruijs Opening
Rated Classical game,rnep,donobtuso,0-1,1696,1667,-12.0,13.0,Indian Game
Rated Classical game,michelko,gen3lsx,0-1,1691,1681,-10.0,10.0,Caro-Kann Defense
Rated Classical game,tim_live,Ioan12behr34,0-1,1539,1615,-8.0,8.0,Queen's Pawn Game
Rated Classical game,Beltar,mumu77,1-0,1491,1486,10.0,-10.0,King's Pawn Game
Rated Classical game,qwertypoetry,francy_esogno,0-1,1752,1758,-10.0,11.0,Bird Opening
Rated Classical game,Diego543,Renzi,1-0,1266,1221,17.0,-11.0,Elephant Gambit
Rated Classical game,Sieglindehans,kazemizadeh,1-0,1458,1617,16.0,-15.0,Philidor Defense
Rated Classical game,yahase,kikonobody,0-1,1711,1728,-10.0,11.0,Sicilian Defense
Rated Classical game,BAGGELIS84,ilfat,1-0,1882,1709,6.0,-5.0,"King's Gambit Declined, Queen's Knight Defense"
Rated Classical game,IKonstantin,elverlapampa,0-1,1361,1460,-8.0,8.0,French Defense
Rated Classical game,marcomar,SpartacusChess,0-1,1876,1899,-10.0,10.0,Hungarian Opening
Rated Classical game,maxvirga,ivan1904,1-0,1791,1728,9.0,-9.0,Sicilian Defense
Rated Classical game,funchess921,MicroDaug,1-0,1907,1862,10.0,-9.0,Rat Defense
Rated Classical game,sklayou,youbert,1-0,1527,1503,10.0,-9.0,King's Pawn Game: Busch-Gass Gambit
Rated Classical game,Danny_D,Karong,0-1,1350,1323,-11.0,12.0,Van Geet Opening
Rated Classical game,Capablanca2050,infntie,1-0,1584,1552,30.0,-10.0,Sicilian Defense
Rated Classical game,pianojacob,dragebrace,0-1,1450,1497,-9.0,9.0,Four Knights Game
Rated Classical game,SarasMarichir,edhu,1-0,1521,1482,10.0,-10.0,Scotch Game
Rated Classical game,alixmoradi,clamagaro,1-0,1833,1846,11.0,-11.0,Queen's Pawn Game
Rated Classical game,Y2305,AMIRZADE_2017,1-0,1725,1781,12.0,-12.0,Sicilian Defense
Rated Classical game,spirogrigri,ImmortalJoe,0-1,1639,1640,-11.0,12.0,Ruy Lopez
Rated Classical game,AVUKAT123,Loz16,1-0,1562,1443,7.0,-7.0,Scandinavian Defense
Rated Classical game,rassem,matteo1979,1-0,1787,1590,6.0,-5.0,Bishop's Opening: Ponziani Gambit
Rated Classical game,goktugbasturk,JesterLynx,1-0,1275,1265,10.0,-10.0,Hungarian Opening
Rated Classical game,benchan,Kazim111,0-1,1214,1215,-10.0,11.0,Bird Opening
Rated Classical game,novusis,Morkul,1-0,1156,1208,13.0,-13.0,King's Pawn Game
Rated Classical game,SSV7,cjdtn,1-0,1820,1713,7.0,-8.0,Italian Game
Rated Classical game,Dorianchess,lucio74,0-1,1376,1289,-13.0,13.0,Sicilian Defense
Rated Classical game,CaughtOutside,kermorgant,0-1,1216,1220,-10.0,17.0,Scandinavian Defense
Rated Classical game,rodrigao,mohammedsaleh,1-0,1551,1635,13.0,-14.0,Philidor Defense
Rated Classical game,mitkosavov,ptomm,1-0,1647,1509,8.0,-7.0,Van't Kruijs Opening
Rated Classical game,1169,solale,1-0,1601,1503,8.0,-9.0,Italian Game
Rated Classical game,DavidBUENO,youAreChacked,1-0,1566,1420,7.0,-6.0,Ponziani Opening
Rated Classical game,arleystevencamelosb,shunm,1-0,1479,1560,13.0,-13.0,King's Pawn Game
Rated Classical game,Tunisie-Sousse2016,zapatapak,1-0,1937,1974,13.0,-11.0,Italian Game
Rated Classical game,akel61,piff215,0-1,1808,1945,-7.0,7.0,Indian Game
Rated Classical game,kthejoker,fast_cannonball,1-0,1558,1588,12.0,-11.0,Scandinavian Defense
Rated Classical game,structuremole,jeandemesfesses75,1-0,1478,1442,9.0,-11.0,Queen's Pawn Game
Rated Classical game,damisela,KGil,1-0,1127,1053,8.0,-9.0,King's Pawn Game
Rated Classical game,PierceClopa,Kaos_one,1-0,1851,1792,9.0,-9.0,"King's Gambit Accepted, Cunningham Defense"
Rated Classical game,igori32tr,lakshay,0-1,1473,1307,-19.0,17.0,Old Indian Defense
Rated Classical game,judgementknight,plutho,1-0,1864,1926,12.0,-13.0,English Opening
Rated Classical game,enes2654,puissance64,0-1,1657,1714,-9.0,9.0,Ponziani Opening
Rated Classical game,i-dude,Guest44,1-0,1740,1633,7.0,-8.0,Sicilian Defense
Rated Classical game,Benyaminer,ozbekburhan,0-1,1456,1358,-13.0,15.0,Scotch Game
Rated Classical game,caemarques,bulat_karataev,0-1,1358,1525,-11.0,6.0,King's Pawn Game
Rated Classical game,Serhio55,gsammito,0-1,1623,1787,-6.0,6.0,Ware Opening
Rated Classical game,DocReyes89,MilanLukic,0-1,1753,1816,-9.0,9.0,Elephant Gambit
Rated Classical game,soullforged,Ruairi1982,0-1,1311,1479,-6.0,6.0,King's Pawn Opening
Rated Classical game,Chespton,marco_marsilia,0-1,1679,1682,-10.0,10.0,Sicilian Defense
Rated Classical game,PsychoPriest,R3X,1-0,1863,1719,8.0,-7.0,Horwitz Defense
Rated Classical game,ben2018,tqbfjotld,0-1,1378,1204,-16.0,29.0,Philidor Defense
Rated Classical game,giants4210,Hodakm,1-0,1585,1411,7.0,-7.0,Giuoco Piano
Rated Classical game,davideasti,Chadley,0-1,1271,1204,-16.0,13.0,Philidor Defense
Rated Classical game,biarmicus,Eloitor,0-1,1627,1582,-19.0,12.0,Sicilian Defense
Rated Classical game,Erdem81,Tecnoscacco,0-1,1551,1486,-21.0,13.0,Italian Game
Rated Classical game,machy_stewart,zxcvxczvxc2017,1-0,1825,1692,7.0,-43.0,Queen's Gambit Declined
Rated Classical game,DomeHugo,cetinbicen,0-1,1465,1552,-8.0,8.0,Queen's Pawn Game
Rated Classical game,Garkovisky,SergeBass,0-1,1691,1635,-24.0,12.0,Sicilian Defense
Rated Classical game,MK01,FranArtz,0-1,1286,1404,-8.0,7.0,King's Pawn Game
Rated Classical game,TheAncienTOne,Shahmatniy,0-1,1131,1228,-15.0,9.0,Horwitz Defense
Rated Classical game,airat3278,mabe48b,1-0,1696,1653,9.0,-9.0,Philidor Defense
Rated Classical game,Nomad_92,Gatorman,1-0,1437,1476,12.0,-12.0,Slav Defense
Rated Classical game,Y2Jericho,reyhornense,1-0,1889,1868,23.0,-10.0,Sicilian Defense
Rated Classical game,Chaouki11,Armat,1-0,1701,1807,14.0,-13.0,Richter-Veresov Attack
Rated Classical game,vilalex,renz_85,1-0,1791,1806,10.0,-11.0,Modern Defense
Rated Classical game,tutto3000,Petros-S,1-0,1557,1423,8.0,-7.0,Philidor Defense
Rated Classical game,stevesale64,dankmemes42069,1-0,1347,1206,7.0,-8.0,King's Pawn Game
Rated Classical game,danipetit,alonsky,0-1,1685,1535,-16.0,15.0,Czech Defense
Rated Classical game,pikolo28,rachid10,1-0,1672,1599,9.0,-9.0,Italian Game: Rousseau Gambit
Rated Classical game,EdeTede,roozha,0-1,1697,1784,-8.0,8.0,Russian Game: Urusov Gambit
Rated Classical game,FranX,Gondim,1-0,1506,1491,10.0,-10.0,Vienna Game
Rated Classical game,capro,nekollaps,1-0,1732,1679,10.0,-9.0,Sicilian Defense
Rated Classical game,poocasso,Scientist007,0-1,1414,1385,-12.0,11.0,Ruy Lopez
Rated Classical game,SneakyTurtle01,Getbur,1-0,1381,1224,6.0,-6.0,"King's Gambit Accepted, Schallopp Defense"
Rated Classical game,uola,teimurazonline,0-1,1670,1524,-16.0,15.0,Bishop's Opening
Rated Classical game,escorpiozingaro,io67,0-1,1225,1299,-9.0,9.0,Bishop's Opening
Rated Classical game,y_d,arghe,0-1,1562,1527,-12.0,16.0,Queen's Gambit Declined
Rated Classical game,SoCalPawn,carlosc9,0-1,1388,1270,-14.0,13.0,Nimzowitsch Defense
Rated Classical game,BAHb-KA01,NASRMMM,1-0,1881,1762,7.0,-7.0,"King's Gambit, Falkbeer Countergambit, Blackburne Attack"
Rated Classical game,kerfest02,aWCzar,0-1,1577,1565,-11.0,12.0,Scotch Game
Rated Classical game,burakbayrakli,Pol-333,0-1,1848,1914,-9.0,9.0,Sicilian Defense
Rated Classical game,timan22400,ledzepp94,1-0,1519,1452,9.0,-9.0,King's Knight Opening
Rated Classical game,pedrocuenca,alapati1962,1-0,1424,1485,12.0,-12.0,Queen's Gambit Accepted
Rated Classical game,Burli21,sadik123,0-1,1946,1875,-13.0,12.0,English Opening
Rated Classical game,myalcin64,Unpredictablegg,0-1,1590,1499,-14.0,15.0,Owen Defense
Rated Classical game,chezentino13,papaoutais,1-0,1661,1711,14.0,-14.0,King's Gambit Declined
Rated Classical game,awfulpoorplayer,leonardorov,1-0,1130,1191,12.0,-13.0,King's Pawn Game
Rated Classical game,Fatik,franm99,1-0,1258,1247,11.0,-10.0,King's Pawn Game
Rated Classical game,Marcosantoniofischer,Tarangu51,1-0,1574,1602,11.0,-11.0,Queen's Gambit Declined
Rated Classical game,lilablaulila,deleuze23,0-1,1373,1366,-11.0,10.0,Queen's Pawn
Rated Classical game,Soso8486,Lebedev2005,1-0,1628,1639,11.0,-11.0,Sicilian Defense
Rated Classical game,obanebane,krivatsa,0-1,1739,1774,-9.0,10.0,Italian Game
Rated Classical game,Miranda26,mikaone,0-1,1606,1593,-11.0,11.0,Queen's Pawn Game
Rated Classical game,LolikTutik,Nessej,1-0,1496,1575,12.0,-14.0,"Ruy Lopez: Berlin Defense, Rio Gambit Accepted"
Rated Classical game,Barcelona-444,emamutavdzic,0-1,1631,1612,-13.0,11.0,Queen's Pawn Game
Rated Classical game,Polpettonerosso,jhendrixxx,0-1,1267,1461,-6.0,5.0,King's Pawn Game
