event,white,black,result,whiteelo,blackelo,whiteratingdiff,blackratingdiff,opening
Rated Classical game,gallardo,Ratbar,0-1,1402,1375,-11.0,39.0,Queen's Pawn Game
Rated Classical game,nicije_dete,smdb,0-1,1594,1516,-13.0,14.0,Queen's Pawn
Rated Classical game,alireza3311,stenersen,1-0,1757,1578,6.0,-6.0,Sicilian Defense
Rated Classical game,shatarang,Baannsns,1-0,1558,1538,11.0,-10.0,Italian Game
Rated Classical game,sixterra,holger1,1-0,1403,1388,20.0,-11.0,Sicilian Defense
Rated Classical game,Grogue83,laggi,1-0,1510,1553,12.0,-12.0,King's Knight Opening
Rated Classical game,riiiich,daniele_ma,1-0,1942,1845,8.0,-7.0,Sicilian Defense
Rated Classical game,yuli123,iyonpratikno,1-0,1686,1709,12.0,-11.0,Nimzowitsch Defense
Rated Classical game,arif511,ajfradin,0-1,1599,1565,-12.0,12.0,Sicilian Defense
Rated Classical game,superman_88,AlymovSN,1-0,1519,1584,23.0,-19.0,Philidor Defense
Rated Classical game,ahmet3347,Jesuslapu,1-0,1185,1132,12.0,-17.0,Philidor Defense
Rated Classical game,Quyetthcsqn,alaamattar,0-1,1717,1794,-33.0,19.0,Petrov
Rated Classical game,Grandduke2,Strong19,1-0,1289,1458,15.0,-16.0,"King's Gambit Accepted, King's Knight Gambit"
Rated Classical game,dolicho,gnarkgnark,1-0,1486,1378,7.0,-8.0,Italian Game
Rated Classical game,MKappa,Legionnaires,1-0,1619,1605,10.0,-10.0,Philidor Defense
Rated Classical game,sersansa,dikmen87,0-1,1480,1463,-11.0,11.0,Philidor Defense
Rated Classical game,Androsman,SgnJp,0-1,1884,1818,-14.0,13.0,English Opening
Rated Classical game,pacmor,Ernestobula,0-1,1705,1663,-12.0,12.0,French Defense
Rated Classical game,valeferreyra11,dilshodn_01,1-0,1452,1334,8.0,-7.0,Queen's Pawn Game
Rated Classical game,Romer93,TooOldMan,0-1,1628,1732,-8.0,20.0,Van't Kruijs Opening
Rated Classical game,skuhl99,kankanelo,1-0,1690,1827,15.0,-15.0,Zukertort Opening
Rated Classical game,bakaysv23,Geminix,1-0,1372,1488,14.0,-14.0,Duras Gambit
Rated Classical game,Siddhartha90,NachoX,1-0,1484,1442,10.0,-9.0,Van Geet Opening
Rated Classical game,catalinos,zezozest,0-1,1267,1122,-17.0,27.0,Italian Game
Rated Classical game,perkest2,valeferreyra11,0-1,1384,1460,-8.0,8.0,Petrov
Rated Classical game,Jojoso10,JurekKiler,0-1,1324,1342,-20.0,10.0,Nimzowitsch Defense
Rated Classical game,mauro1998,juhu1111,0-1,1379,1476,-8.0,8.0,Robatsch Defense
Rated Classical game,Mladen2Kalaj,shatarang,1-0,1387,1569,17.0,-17.0,Queen's Pawn Game
Rated Classical game,Razorneck,demetrio50,0-1,1706,1691,-11.0,12.0,Philidor Defense
Rated Classical game,AxelMahone,dimia,1-0,1663,1646,10.0,-11.0,Queen's Gambit Declined
Rated Classical game,Omer_Faruk,akosiace,1-0,1650,1714,18.0,-20.0,Danish Gambit
Rated Classical game,donbruce,Denro,1-0,1292,1368,13.0,-17.0,Italian Game
Rated Classical game,maingu,lucas_fabiano40,1-0,1506,1476,10.0,-43.0,Modern Defense
Rated Classical game,Anderin,Bassman2203,0-1,1143,1086,-19.0,13.0,Van Geet Opening
Rated Classical game,Mananabas,memogalata,1-0,1930,1856,8.0,-8.0,Sicilian Defense
Rated Classical game,kunning-king,roby60,1-0,1220,1106,8.0,-10.0,Queen's Pawn Game
Rated Classical game,jirayavvv,taazoid,0-1,1134,1166,-42.0,9.0,King's Pawn Game: Gunderam Gambit
Rated Classical game,psg33,marco1999,1-0,1595,1510,31.0,-8.0,King's Indian Defense
Rated Classical game,Kha4ik_1,narbar,1-0,1514,1568,13.0,-12.0,Scotch Game
Rated Classical game,shamkr,Fabien_Tr,1-0,1268,1262,11.0,-10.0,Philidor Defense
Rated Classical game,neustroev,djam,0-1,1654,1539,-14.0,14.0,Sicilian Defense
Rated Classical game,Artomix,nadeemalek,1-0,1289,1227,31.0,-10.0,Scotch Game
Rated Classical game,leolap69,OKENITE,1-0,1499,1572,13.0,-13.0,Mieses Opening
Rated Classical game,carvin160,ghippi,1-0,1771,1895,14.0,-15.0,Queen's Pawn Game
Rated Classical game,raptor69,MegaZver,1-0,1720,1769,12.0,-12.0,Slav Defense
Rated Classical game,mohammad2879,rdp870,0-1,1260,1344,-46.0,8.0,Queen's Pawn Game
Rated Classical game,damasosos92,Dawud,1-0,1378,1198,5.0,-50.0,Slav Defense
Rated Classical game,Eresbos07,vl69,1-0,1577,1707,14.0,-37.0,Queen's Gambit Declined
Rated Classical game,Denro,VUAditya,1-0,1351,1280,11.0,-22.0,Philidor Defense
Rated Classical game,bobbyfisher22,nano51,0-1,1324,1473,-8.0,8.0,Sicilian Defense
Rated Classical game,thomzel,gogita444,1-0,1596,1456,7.0,-7.0,King's Pawn Game
Rated Classical game,mahimasingh24,swift007,1-0,1729,1776,13.0,-12.0,Ruy Lopez
Rated Classical game,tabitak,tanar,0-1,1620,1588,-12.0,42.0,Italian Game
Rated Classical game,xoceankalix,fuad1979,0-1,1317,1438,-7.0,7.0,Philidor Defense
Rated Classical game,MikiMikele,Escorba57,0-1,1605,1611,-11.0,12.0,Four Knights Game
Rated Classical game,SirNickeldy,Pondorra,1-0,1646,1680,13.0,-12.0,Queen's Gambit Refused
Rated Classical game,Shutnik100,claudious1234,1-0,1688,1571,7.0,-7.0,Bishop's Opening
Rated Classical game,manoj007,ryan_hutchison,1-0,1253,1188,10.0,-12.0,Zukertort Opening
Rated Classical game,YamaReiji,jjpel,0-1,1484,1608,-8.0,7.0,Mieses Opening
Rated Classical game,spoctrium,LegendaUSSR,0-1,1622,1528,-14.0,13.0,Italian Game
Rated Classical game,Ganiball,DiasZhumabaev,1-0,1293,1387,15.0,-37.0,King's Pawn Game
Rated Classical game,ImmortalJoe,vhapiak,0-1,1591,1612,-11.0,11.0,Scandinavian Defense
Rated Classical game,akosiace,Omer_Faruk,0-1,1694,1668,-18.0,15.0,Sicilian Defense
Rated Classical game,habib1359,Matej738,0-1,1945,1935,-11.0,14.0,Alekhine Defense
Rated Classical game,Sky12345,Nephilim777,0-1,1238,1396,-7.0,7.0,King's Pawn Game: Busch-Gass Gambit
Rated Classical game,arzan,grenouill,0-1,1374,1343,-14.0,12.0,Colle System
Rated Classical game,alifamirul,RUDYRUDY21,0-1,1652,1484,-17.0,16.0,Scotch Game
Rated Classical game,Arrchess,pr_kamel,1-0,1549,1532,11.0,-10.0,Italian Game
Rated Classical game,Mauricio-30,serkan2727,1-0,1603,1571,11.0,-10.0,Giuoco Piano
Rated Classical game,Huitzilopoxtli,obedjc,1-0,1534,1543,11.0,-11.0,Dutch Defense
Rated Classical game,Erfanian-Iran,Zephy33,1-0,1963,1871,8.0,-22.0,Caro-Kann Defense
Rated Classical game,fun_1,oto101,0-1,1639,1686,-10.0,9.0,Scotch Game
Rated Classical game,mortifero,JonathanJackson,0-1,1355,1439,-8.0,8.0,King's Pawn Game
Rated Classical game,Sazik,Slin13,1-0,1494,1516,11.0,-12.0,Italian Game
Rated Classical game,Bengiboz,New2this69,0-1,1322,1154,-17.0,18.0,Indian Game
Rated Classical game,ZemlinArtem,Bk0525,0-1,1466,1436,-11.0,12.0,Italian Game
Rated Classical game,mohammadreza_nj,goxxell,1-0,1345,1296,9.0,-9.0,Van't Kruijs Opening
Rated Classical game,obesemitch,diegopinha,0-1,1514,1485,-19.0,11.0,King's Indian Attack
Rated Classical game,janis7777,Leopaul,1-0,1585,1655,14.0,-13.0,Ruy Lopez
Rated Classical game,Etevaldo,vladoha,0-1,1447,1538,-8.0,23.0,Queen's Pawn Game
Rated Classical game,maluking,leo2006,0-1,1570,1553,-12.0,11.0,Sicilian Defense
Rated Classical game,josssho0,stradanie,1-0,1317,1299,11.0,-10.0,Queen's Gambit Refused
Rated Classical game,Domenico71,Quizlock,1-0,1113,1204,35.0,-13.0,English Opening
Rated Classical game,E-chess,buihuuduc,1-0,1799,1725,9.0,-9.0,French Defense
Rated Classical game,gianlucadelfino,matteooosavaarr,0-1,1829,1807,-11.0,11.0,Caro-Kann Defense
Rated Classical game,skavuri,Dragan052,0-1,1834,1791,-12.0,24.0,Queen's Pawn Game
Rated Classical game,alekslim777,ewetgenclikk,0-1,1950,1889,-13.0,14.0,Sicilian Defense
Rated Classical game,Syngat,joaquin097,0-1,1426,1415,-11.0,11.0,Queen's Pawn Game
Rated Classical game,hijodelsol88,Arturasl,1-0,1575,1630,13.0,-13.0,French Defense
Rated Classical game,Valdecidoserafim,MSTSC,0-1,1684,1682,-13.0,11.0,French Defense
Rated Classical game,Melzas,Nedaciuoka,0-1,1941,1984,-9.0,15.0,Sicilian Defense
Rated Classical game,smyrgeli,psg33,1-0,1606,1626,12.0,-39.0,French Defense
Rated Classical game,aybarssafi,ysfkaya04,0-1,1453,1463,-10.0,10.0,Queen's Pawn Game
Rated Classical game,timebinding,Morcilla92,1-0,1729,1798,16.0,-12.0,English Opening
Rated Classical game,Staloon,Tugomir,0-1,1795,1963,-6.0,6.0,Nimzo-Larsen Attack
Rated Classical game,skala13,niko_perusko,1-0,1723,1635,8.0,-22.0,French Defense
Rated Classical game,Artedrez,harrib,1-0,1782,1873,15.0,-16.0,Slav Defense
Rated Classical game,HolaMeDicenCarlsen,Achilleus_1182,1-0,1265,1161,8.0,-7.0,King's Pawn Game: Beyer Gambit
Rated Classical game,khosrow777,quacker,1-0,1932,1781,38.0,-6.0,King's Gambit
Rated Classical game,Jazzzz65,albertsteal,1-0,1873,1819,8.0,-24.0,Caro-Kann Defense
Rated Classical game,eganbar,manny99,1-0,1893,1735,37.0,-6.0,Slav Defense
Rated Classical game,Aso_ok_donn_hold_nid,Leonida_17,0-1,1672,1633,-13.0,14.0,Queen's Gambit Declined
Rated Classical game,HungKnight,SJX6182noeller,1-0,1621,1501,15.0,-7.0,Nimzo-Indian Defense
Rated Classical game,nwgibson,moutala,0-1,1308,1318,-23.0,11.0,Scandinavian Defense
Rated Classical game,hamabvb,plk,0-1,1679,1541,-16.0,14.0,Bishop's Opening
Rated Classical game,Dimus,sarmat67,1-0,1758,1828,13.0,-13.0,Sicilian Defense
Rated Classical game,maksympm,satanasatanas,0-1,1230,1207,-12.0,12.0,Bishop's Opening
Rated Classical game,teftis_2017,Pavel_53ru,1-0,1858,1721,33.0,-13.0,Ruy Lopez
Rated Classical game,KonstantinJoy,jbb05,1-0,1105,1280,17.0,-16.0,King's Knight Opening
Rated Classical game,moze1318,ontonio,1-0,1871,1787,8.0,-8.0,Queen's Pawn Game
Rated Classical game,louigy974,rasoulgol55,1-0,1726,1710,10.0,-10.0,Slav Defense
Rated Classical game,kuzmichhh,bird129,0-1,1480,1435,-31.0,12.0,Sicilian Defense
Rated Classical game,Boroda1,lichlewis,0-1,1569,1469,-14.0,13.0,King's Pawn Game
Rated Classical game,Mtal04,serick,1-0,1792,1769,12.0,-10.0,Sicilian Defense
Rated Classical game,Tobias1602,Watchmen,0-1,1565,1568,-25.0,11.0,Sicilian Defense
Rated Classical game,cyberrx,Nik_Kurta,1-0,1616,1578,10.0,-10.0,Danish Gambit
Rated Classical game,freshnlow,siamak22,1-0,1687,1589,9.0,-8.0,Queen's Gambit Accepted
Rated Classical game,bumpywater,ponteponte,0-1,1795,1824,-10.0,12.0,French Defense
Rated Classical game,Georges38,alireza3311,0-1,1763,1776,-11.0,11.0,English Opening
Rated Classical game,skripnikov2d,SergioBadajoz,1-0,1354,1358,11.0,-18.0,Four Knights Game
Rated Classical game,SnakeSK,qbeh,0-1,1710,1595,-14.0,43.0,French Defense
Rated Classical game,dazayn123,abdelftah,1-0,1525,1676,16.0,-16.0,Queen's Pawn Game
Rated Classical game,clongfritter,lazaro24,1-0,1380,1398,11.0,-11.0,Philidor Defense
Rated Classical game,gjiki98,bala597,0-1,1533,1429,-14.0,32.0,Philidor Defense
Rated Classical game,Watchmen,Imran05,1-0,1579,1539,9.0,-10.0,English Opening
Rated Classical game,vraban,EmilyMay,1-0,1372,1251,8.0,-7.0,Queen's Gambit Declined
Rated Classical game,ialexcampos,Helfer09,1-0,1773,1831,12.0,-13.0,Caro-Kann Defense
Rated Classical game,yojimbox,sblaf,1-0,1331,1325,10.0,-11.0,Zukertort Opening
Rated Classical game,gangadhara,PROFAS,1-0,1614,1522,8.0,-10.0,French Defense
Rated Classical game,murid,shawkysaeed828,0-1,1956,1823,-16.0,14.0,Philidor Defense
Rated Classical game,doncamillo34,tatamax,0-1,1943,1886,-12.0,13.0,Queen's Pawn Game
Rated Classical game,bestiarius,sixterra,0-1,1316,1423,-8.0,15.0,King's Pawn Game
Rated Classical game,Artem1704,nsweetwood,1-0,1414,1418,11.0,-11.0,"Englund Gambit Declined, Reversed French"
Rated Classical game,Flynn35,silvaporto,0-1,1108,1299,-5.0,33.0,Three Knights Opening
Rated Classical game,Mih1,mereke,0-1,1683,1498,-16.0,17.0,Scandinavian Defense
Rated Classical game,giorgi0001,Maascovitz,1-0,1705,1599,9.0,-8.0,King's Pawn Game
Rated Classical game,safetsafet,elgranrubowski,0-1,1437,1389,-13.0,12.0,Owen Defense
Rated Classical game,plk,hamabvb,1-0,1555,1663,14.0,-15.0,Philidor Defense
Rated Classical game,NordZman,nandoguariento,1-0,1624,1578,47.0,-9.0,English Opening
Rated Classical game,Neyaa,Yuvix,1-0,1643,1470,20.0,-12.0,Rat Defense
Rated Classical game,Vladislavthefirst,KevinMihail11,0-1,1584,1639,-9.0,9.0,King's Knight Opening
Rated Classical game,mb1354,babifisher7,0-1,1765,1861,-7.0,39.0,Dutch Defense
Rated Classical game,velomosh,HanFeiTzeu,0-1,1687,1627,-12.0,12.0,Bishop's Opening
Rated Classical game,jikkuphilip,Briank,1-0,1047,1043,10.0,-10.0,Caro-Kann Defense
Rated Classical game,Rezuan13,floppis1,1-0,1314,1381,12.0,-13.0,Zukertort Opening
Rated Classical game,StaringChicken,bigavp,0-1,1848,1855,-14.0,11.0,French Defense
Rated Classical game,asadeh29,Klanarya,0-1,1857,1757,-16.0,19.0,Sicilian Defense
Rated Classical game,TELEMACO757,reyhanprtrs,1-0,1598,1635,11.0,-12.0,French Defense
Rated Classical game,Maksim121212,mica24,1-0,1441,1444,11.0,-12.0,Italian Game
Rated Classical game,wrx12,knowledgeseeker,0-1,1101,1253,-44.0,6.0,Queen's Pawn Game
Rated Classical game,marija3,Rajrk,1-0,1698,1634,9.0,-9.0,King's Pawn Game
Rated Classical game,chessyes73,krispl,1-0,1846,1792,46.0,-8.0,Sicilian Defense: Smith-Morra Gambit
Rated Classical game,pboddu,pharaoh123,1-0,1504,1666,16.0,-15.0,King's Pawn Game: Busch-Gass Gambit
Rated Classical game,j700,grundith,1-0,1484,1461,9.0,-35.0,Queen's Pawn Game
Rated Classical game,MIAURIZIO,sumeet26mishra,1-0,1707,1724,11.0,-11.0,Scandinavian Defense
Rated Classical game,amaf,Destaexezackho,0-1,1446,1409,-12.0,13.0,Nimzo-Larsen Attack
Rated Classical game,anonymous2all,TheSauravS,0-1,1246,1350,-32.0,9.0,Grob Opening: Grob Gambit
